Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;29/10/05;Ath Bilbao;Celta;1;1;D;1;0;H;14;11;3;4;25;13;6;3;2;2;0;0;2.25;3.25;2.75;2.22;3.16;2.99;2.02;1.7;1.86;2.0
SP1;29/10/05;Betis;Real Madrid;0;2;A;0;1;A;11;6;1;3;21;24;4;4;2;2;0;0;2.8;3.25;2.2;3.08;3.17;2.16;1.83;1.89;1.88;1.99
SP1;30/10/05;Alaves;Cadiz;0;0;D;0;0;D;10;7;6;3;25;19;4;0;1;2;0;0;2.2;3.25;2.8;2.24;3.15;3.0;2.1;1.64;1.95;1.92
SP1;30/10/05;Ath Madrid;Villarreal;1;1;D;1;0;H;16;7;5;2;26;18;8;2;6;4;1;1;2.2;3.25;2.8;2.16;3.15;3.08;2.02;1.72;1.92;1.95
SP1;30/10/05;Barcelona;Sociedad;5;0;H;2;0;H;21;2;8;1;13;9;4;5;1;3;0;1;1.33;4.33;7.5;1.3;4.49;8.72;1.68;2.05;2.08;1.76
SP1;30/10/05;La Coruna;Getafe;1;0;H;1;0;H;12;16;5;3;28;17;1;2;3;4;0;0;1.8;3.25;4.0;1.81;3.23;4.05;1.97;1.74;1.86;1.99
SP1;30/10/05;Mallorca;Sevilla;1;1;D;1;1;D;8;19;2;7;22;15;3;2;2;2;1;0;2.5;3.2;2.5;2.71;3.13;2.41;2.06;1.66;2.01;1.84
SP1;30/10/05;Osasuna;Espanol;2;0;H;1;0;H;16;7;7;0;18;20;5;4;2;6;0;1;1.83;3.25;3.75;1.83;3.21;4.03;2.07;1.65;1.98;1.87
SP1;30/10/05;Valencia;Santander;1;1;D;1;1;D;10;5;4;4;14;31;9;1;2;1;0;1;1.4;4.0;6.5;1.41;3.82;7.28;1.95;1.78;1.75;2.12
SP1;30/10/05;Zaragoza;Malaga;1;1;D;1;1;D;16;9;8;2;19;22;9;1;2;2;0;0;2.0;3.25;3.25;1.96;3.17;3.61;2.01;1.7;2.0;1.86
SP1;05/11/05;Espanol;Ath Bilbao;1;1;D;0;1;A;13;9;6;3;18;25;4;3;2;1;0;0;2.1;3.25;3.4;2.12;3.15;3.18;2.07;1.66;1.98;1.89
SP1;05/11/05;Sociedad;Osasuna;1;2;A;1;1;D;15;17;5;5;22;25;3;3;1;4;0;0;2.1;3.25;3.0;2.07;3.15;3.29;2.01;1.7;1.83;2.04
SP1;05/11/05;Villarreal;Valencia;1;0;H;1;0;H;15;13;4;6;17;22;1;6;1;1;0;0;2.37;3.2;2.87;2.31;3.09;2.86;1.96;1.76;1.79;2.04
SP1;06/11/05;Cadiz;Mallorca;1;2;A;1;1;D;9;9;4;4;15;21;7;3;3;3;0;1;2.0;3.25;3.25;2.01;3.19;3.45;2.08;1.64;1.81;2.04
SP1;06/11/05;Celta;Alaves;2;1;H;1;0;H;14;9;9;2;22;14;6;4;3;2;0;0;1.72;3.25;4.33;1.67;3.36;4.9;2.05;1.67;2.03;1.83
