Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BbAvH,BbAvD,BbAvA,BbAv>2.5,BbAv<2.5,BbAvAHH,BbAvAHA,temp_max,lluvia_mm,viento_kmh
SP1,19/12/1993,Barcelona,Celta,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,0.0,10.9
SP1,19/12/1993,La Coruna,Lerida,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,33.3
SP1,19/12/1993,Osasuna,Logrones,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,1.2,5.9
SP1,19/12/1993,Oviedo,Tenerife,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,0.9,13.1
SP1,19/12/1993,Sevilla,Ath Bilbao,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,0.0,12.2
SP1,19/12/1993,Sociedad,Real Madrid,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,0.8,20.5
SP1,19/12/1993,Valladolid,Vallecano,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,18.1
SP1,19/12/1993,Zaragoza,Valencia,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,7.8
SP1,02/01/1994,Ath Bilbao,Santander,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,0.0,25.0
SP1,02/01/1994,Celta,Zaragoza,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,11.0,34.7
SP1,02/01/1994,Lerida,Oviedo,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,0.0,19.9
SP1,02/01/1994,Logrones,Valladolid,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,0.0,24.5
SP1,02/01/1994,Real Madrid,Albacete,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,0.0,12.3
SP1,02/01/1994,Sevilla,Sociedad,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,0.0,8.4
SP1,02/01/1994,Sp Gijon,Barcelona,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,0.1,25.6
SP1,02/01/1994,Tenerife,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,0.0,24.1
SP1,02/01/1994,Valencia,Osasuna,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.0,23.4
SP1,02/01/1994,Vallecano,La Coruna,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,0.0,12.3
SP1,09/01/1994,Albacete,Sevilla,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,0.0,25.5
SP1,09/01/1994,Ath Bilbao,Sociedad,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,2.3,30.9
SP1,09/01/1994,Ath Madrid,Lerida,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,0.1,21.7
SP1,09/01/1994,Barcelona,Real Madrid,5,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,0.0,9.4
SP1,09/01/1994,La Coruna,Logrones,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,16.9,43.6
SP1,09/01/1994,Osasuna,Celta,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,2.4,23.5
SP1,09/01/1994,Oviedo,Vallecano,5,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,6.4,24.7
SP1,09/01/1994,Santander,Tenerife,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,2.4,30.6
SP1,09/01/1994,Valladolid,Valencia,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,5.1,27.8
SP1,09/01/1994,Zaragoza,Sp Gijon,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,0.0,17.4
SP1,16/01/1994,Celta,Valladolid,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,7.2,25.9
SP1,16/01/1994,Lerida,Santander,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,0.0,26.1
SP1,16/01/1994,Logrones,Oviedo,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,1.0,28.4
